keytermId,courseId,keyterm,page,chapterId,sectionId,wikipedia_term,definition,wiki_url
10316,c86c8c8d-dca6-41cd-a010-a83e40d93e75,acid rain,12,1,3,acid_rain,"Acid rain is a rain or any other form of precipitation that is unusually acidic, meaning that it possesses elevated levels of hydrogen ions (low pH). It can have harmful effects on plants, aquatic animals and infrastructure. Acid rain is caused by emissions of sulfur dioxide and nitrogen oxide, which react with the water molecules in the atmosphere to produce acids",https://en.wikipedia.org/wiki/Acid_rain
320439,c86c8c8d-dca6-41cd-a010-a83e40d93e75,actual vapor pressure,0,0,0,Vapour_pressure_of_water,The pressure exerted by the water vapor molecules in a given volume of air.,https://en.wikipedia.org/wiki/Vapour_pressure_of_water
50107,c86c8c8d-dca6-41cd-a010-a83e40d93e75,adiabatic process,123,5,1,adiabatic_process,"A process that takes place without a transfer of heat between the system (such as an air parcel) and its surroundings. In an adiabatic process compression always results in warming, and expansion results in cooling.",https://en.wikipedia.org/wiki/Adiabatic_process
20119,c86c8c8d-dca6-41cd-a010-a83e40d93e75,advection,40,2,1,advection,The horizontal transfer of any atmospheric property by the wind.,https://en.wikipedia.org/wiki/Advection
40204,c86c8c8d-dca6-41cd-a010-a83e40d93e75,advection fog,98,4,2,advection_fog,"Occurs when warm, moist air moves over a cold surface and the air cools to below its dew point.",https://en.wikipedia.org/wiki/Fog
10307,c86c8c8d-dca6-41cd-a010-a83e40d93e75,aerosols,11,1,3,aerosols,"An aerosol is a colloid of fine solid particles or liquid droplets, in air or another gas. Aerosols can be natural or artificial. Examples of natural aerosols are fog, forest exudates and geyser steam. Examples of artificial aerosols are haze, dust, particulate air pollutants and smoke.[1] The liquid or solid particles have diameter mostly smaller than 1 &micro;m or so;",https://en.wikipedia.org/wiki/Aerosol
320440,c86c8c8d-dca6-41cd-a010-a83e40d93e75,aerovane,0,0,0,,A device that resembles a wind vane with a propeller at one end. Used to indicate wind speed and direction.,
320441,c86c8c8d-dca6-41cd-a010-a83e40d93e75,air density ,0,0,0,,Mass per unit volume of air; about 1.275 km per cubic meter at 0ºC and 1000 millibars.,
90101,c86c8c8d-dca6-41cd-a010-a83e40d93e75,air mass,238,9,1,air_mass,A large expanse of air having similar temperature and humidity at any given height.,https://en.wikipedia.org/wiki/Air_mass
110101,c86c8c8d-dca6-41cd-a010-a83e40d93e75,air mass thunderstorm,298,11,1,air_mass_thunderstorm,,https://en.wikipedia.org/wiki/Air-mass_thunderstorm
50104,c86c8c8d-dca6-41cd-a010-a83e40d93e75,air parcel,122,5,1,air_parcel,"A very small amount of air, identifiable throughout its dynamic history while moving within the atmosphere.",https://en.wikipedia.org/wiki/Fluid_parcel
10425,c86c8c8d-dca6-41cd-a010-a83e40d93e75,air pressure,16,1,4,air_pressure,The cumulative force exerted on any surface by the molecules composing air.,https://en.wikipedia.org/wiki/Atmospheric_pressure
20219,c86c8c8d-dca6-41cd-a010-a83e40d93e75,albedo,49,2,2,albedo,The percent of radiation returning from a surface compared to that which strikes it.,https://en.wikipedia.org/wiki/Albedo
80137,c86c8c8d-dca6-41cd-a010-a83e40d93e75,Aleutian low,211,8,1,Aleutian_low,,https://en.wikipedia.org/wiki/Aleutian_Low
320442,c86c8c8d-dca6-41cd-a010-a83e40d93e75,altimeter,0,0,0,,An instrument that indicates the altitude of an object above a fixed level. Pressure altimeters use an aneroid barometer with a scale graduated in altitude instead of pressure.,
40331,c86c8c8d-dca6-41cd-a010-a83e40d93e75,altocumulus,106,4,3,altocumulus,"A middle cloud, usually white or gray. Often occurs in layers or patches with wavy, rounded masses or rolls.",https://en.wikipedia.org/wiki/Altocumulus_cloud
40319,c86c8c8d-dca6-41cd-a010-a83e40d93e75,altocumulus clouds,106,4,3,altocumulus_clouds,"A middle cloud, usually white or gray. Often occurs in layers or patches with wavy, rounded masses or rolls.",https://en.wikipedia.org/wiki/Cumulus_cloud
40334,c86c8c8d-dca6-41cd-a010-a83e40d93e75,altostratus,106,4,3,altostratus,"A middle cloud composed of gray or bluish sheets or layers of uniform appearance. In the thinner regions, the sun or moon usually appears dimly visible.",https://en.wikipedia.org/wiki/Altostratus_cloud
40322,c86c8c8d-dca6-41cd-a010-a83e40d93e75,altostratus clouds,106,4,3,altostratus_clouds,"A middle cloud composed of gray or bluish sheets or layers of uniform appearance. In the thinner regions, the sun or moon usually appears dimly visible.",https://en.wikipedia.org/wiki/Altostratus_cloud
320445,c86c8c8d-dca6-41cd-a010-a83e40d93e75,ambient air,0,0,0,,"The air surrounding a cloud, or the air surrounding rising or sinking air parcels.",
320446,c86c8c8d-dca6-41cd-a010-a83e40d93e75,ambient temperature ,0,0,0,,Temperature of the surrounding (ambient) air.,
140319,c86c8c8d-dca6-41cd-a010-a83e40d93e75,analogue forecasting method,408,14,3,analogue_forecasting_method,,
140301,c86c8c8d-dca6-41cd-a010-a83e40d93e75,analysis,404,14,3,analysis,,https://en.wikipedia.org/wiki/Analysis
320447,c86c8c8d-dca6-41cd-a010-a83e40d93e75,anemometer,0,0,0,,An instrument designed to measure wind speed.,
320448,c86c8c8d-dca6-41cd-a010-a83e40d93e75,aneroid barometer,0,0,0,,An instrument designed to measure atmospheric pressure. It contains no liquid.,
30128,c86c8c8d-dca6-41cd-a010-a83e40d93e75,annual range of temperature,77,3,1,annual_range_of_temperature,The difference between the warmest and coldest months at any given location.,https://en.wikipedia.org/wiki/Khyber_Pakhtunkhwa
320449,c86c8c8d-dca6-41cd-a010-a83e40d93e75,anomalies ,0,0,0,,"Departures of temperature, precipitation, or other weather elements from long-term averages.",
70225,c86c8c8d-dca6-41cd-a010-a83e40d93e75,anticyclone,182,7,2,anticyclone,"An atmospheric anticyclonic circulation, a closed circulation. The wind in an anticyclone is in the clockwise direction in the Northern Hemisphere and counterclockwise in the Southern Hemisphere.",https://en.wikipedia.org/wiki/Anticyclone
30225,c86c8c8d-dca6-41cd-a010-a83e40d93e75,apparent temperature,87,3,2,apparent_temperature,"The temperature equivalent perceived by humans, caused by the combined effects of air temperature, relative humidity and wind speed.",https://en.wikipedia.org/wiki/Apparent_temperature
320450,c86c8c8d-dca6-41cd-a010-a83e40d93e75,arctic air,0,0,0,,A very cold and dry air mass that forms primarily in winter and the northern interior of North America.,
140522,c86c8c8d-dca6-41cd-a010-a83e40d93e75,Arctic Oscillation,424,14,5,Arctic_Oscillation,,https://en.wikipedia.org/wiki/Arctic_oscillation
140304,c86c8c8d-dca6-41cd-a010-a83e40d93e75,atmospheric models,404,14,3,atmospheric_models,,https://en.wikipedia.org/wiki/Atmospheric_models
20210,c86c8c8d-dca6-41cd-a010-a83e40d93e75,atmospheric window,46,2,2,atmospheric_window,A region of the electromagnetic spectrum from 8 to 12 µm where the atmosphere is transparent to radiation.,https://en.wikipedia.org/wiki/Atmospheric window
20304,c86c8c8d-dca6-41cd-a010-a83e40d93e75,autumnal equinox,57,2,3,autumnal_equinox,The equinox at which the sun approaches the Southern Hemisphere and passes directly over the equator. Occurs around September 23.,https://en.wikipedia.org/wiki/Equinox
60237,c86c8c8d-dca6-41cd-a010-a83e40d93e75,avalanche,155,6,2,avalanche,A mass of snow (perhaps containing ice and rocks) moving rapidly down a steep mountain slope.,https://en.wikipedia.org/wiki/Avalanche
140201,c86c8c8d-dca6-41cd-a010-a83e40d93e75,AWIPS,402,14,2,AWIPS,,https://en.wikipedia.org/wiki/Advanced_Weather_Interactive_Processing_System
90216,c86c8c8d-dca6-41cd-a010-a83e40d93e75,back door cold front,256,9,2,back_door_cold_front,,https://en.wikipedia.org/wiki/Subtropical_Storm_Andrea_(2007)
110228,c86c8c8d-dca6-41cd-a010-a83e40d93e75,ball lightning,325,11,2,ball_lightning,,https://en.wikipedia.org/wiki/Ball_lightning
40373,c86c8c8d-dca6-41cd-a010-a83e40d93e75,banner cloud,112,4,3,banner_cloud,"Formed downwind of the upper slopes of isolated, steep-sided mountains. It is created by the low pressure areas in the downwind vortices drawing in relatively humid air from the lower slopes of the mountain.",https://en.wikipedia.org/wiki/Orographic_lift
320451,c86c8c8d-dca6-41cd-a010-a83e40d93e75,barograph,0,0,0,,A recording instrument that provides a continuous trace of air pressure variation with time.,
320452,c86c8c8d-dca6-41cd-a010-a83e40d93e75,barometer,0,0,0,,An instrument that measures atmospheric pressure. The two most common barometers are the mercury barometer and the aneroid barometer.,
110231,c86c8c8d-dca6-41cd-a010-a83e40d93e75,bead lightning,325,11,2,bead_lightning,,https://en.wikipedia.org/wiki/Lightning
70504,c86c8c8d-dca6-41cd-a010-a83e40d93e75,Beaufort,195,7,5,Beaufort_wind_scale,A scale of wind strength based on visual assessment of the effects of wind on seas and vegetation.,https://en.wikipedia.org/wiki/Beaufort_scale
320453,c86c8c8d-dca6-41cd-a010-a83e40d93e75,beaufort scale,0,0,0,,,
320202,c86c8c8d-dca6-41cd-a010-a83e40d93e75,Beaufort wind scale,195,7,5,Beaufort_wind_scale,,https://en.wikipedia.org/wiki/Beaufort_scale
60113,c86c8c8d-dca6-41cd-a010-a83e40d93e75,Bergeron,147,6,1,Bergeron,"(Commonly called the ice process of precipitation, and formerly, ice- crystal theory; also Bergeron–Findeisen–Wegener process or theory, and with the names in a different order.) A theoretical explanation of the process by which precipitation particles may form within a mixed cloud (composed of both ice crystals and liquid water drops).",http://glossary.ametsoc.org/wiki/Bergeron-findeisen_process
80140,c86c8c8d-dca6-41cd-a010-a83e40d93e75,Bermuda high,211,8,1,Bermuda_high,,https://en.wikipedia.org/wiki/Azores_High
80349,c86c8c8d-dca6-41cd-a010-a83e40d93e75,black blizzards,232,8,3,black_blizzards,,https://en.wikipedia.org/wiki/Dust_storm
320454,c86c8c8d-dca6-41cd-a010-a83e40d93e75,black body,0,0,0,,A hypothetical object that absorbs all of the radiation that strikes it. It also emits radiation at a maximum rate for its given temperature.,
60240,c86c8c8d-dca6-41cd-a010-a83e40d93e75,black ice,157,6,2,black_ice,"Thin, new ice on freshwater or saltwater, appearing dark in color because of its transparency, which is a result of its columnar grain structure.",https://en.wikipedia.org/wiki/Black_ice
20201,c86c8c8d-dca6-41cd-a010-a83e40d93e75,blackbody,45,2,2,blackbody,"A black body is an idealized physical body that absorbs all incident electromagnetic radiation, regardless of frequency or angle of incidence.",https://en.wikipedia.org/wiki/Black_body
60228,c86c8c8d-dca6-41cd-a010-a83e40d93e75,blizzard,154,6,2,blizzard,"A severe weather condition characterized by low temperatures and strong winds (greater than 32 mi/hr) bearing a great amount of snow. When these conditions continue after the falling snow has ended, it is termed a ground blizzard.",https://en.wikipedia.org/wiki/Blizzard
320455,c86c8c8d-dca6-41cd-a010-a83e40d93e75,bora,0,0,0,,A cold katabatic wind that originates in Yugoslavia and flows onto the coastal plain of the Adriatic Sea.,
110155,c86c8c8d-dca6-41cd-a010-a83e40d93e75,bow echo,307,11,1,bow_echo,,https://en.wikipedia.org/wiki/Bow_echo
320456,c86c8c8d-dca6-41cd-a010-a83e40d93e75,bowen ratio,0,0,0,,The ratio of energy available for sensible heating to energy available for latent heating.,
320457,c86c8c8d-dca6-41cd-a010-a83e40d93e75,boyle's law ,0,0,0,,"When the temperature is held constant, the pressure and density of an ideal gas are directly proportional.",
10301,c86c8c8d-dca6-41cd-a010-a83e40d93e75,carbon dioxide,9,1,3,carbon_dioxide,Carbon dioxide (chemical formula CO2) is a colorless and odorless gas vital to life on Earth. This naturally occurring chemical compound is composed of a carbon atom covalently double bonded to two oxygen atoms. Carbon dioxide exists in Earth's atmosphere as a trace gas at a concentration of about 0.04 percent (400 ppm) by volume,https://en.wikipedia.org/wiki/Carbon_dioxide
320443,c86c8c8d-dca6-41cd-a010-a83e40d93e75,castellanus,0,0,0,,"An altocumulus showing vertical development, individual cloud elements have towerlike tops, often in the shape of tiny castles.",
320458,c86c8c8d-dca6-41cd-a010-a83e40d93e75,ccl,0,0,0,,The level above the surface marking the base of a cumiliform cloud that is forming due to surface heating and rising thermals.,
320459,c86c8c8d-dca6-41cd-a010-a83e40d93e75,ceilometer,0,0,0,,An instrument that automatically records cloud height.,
10401,c86c8c8d-dca6-41cd-a010-a83e40d93e75,Celsius,14,1,4,Celsius,"Celsius temperature scale, also called centigrade temperature scale, scale based on 0° for the freezing point of water and 100° for the boiling point of water. This scale is widely taught in schools today, by international agreement the unit ""degree Celsius"" and the Celsius scale are currently defined by two different temperatures: absolute zero, and the triple point of VSMOW (specially purified water).",https://en.wikipedia.org/wiki/Celsius
320460,c86c8c8d-dca6-41cd-a010-a83e40d93e75,centrifugal force,0,0,0,,"A force directed outward, away from the center of a rotating object; equal in magnitude to the centripetal force but in the opposite direction.",
70410,c86c8c8d-dca6-41cd-a010-a83e40d93e75,centripetal force,190,7,4,centripetal_force,An inward-directed force that confines an object to a circular path; equal in magnitude to the centrifugal force but in the opposite direction.,https://en.wikipedia.org/wiki/Centripetal_force
140313,c86c8c8d-dca6-41cd-a010-a83e40d93e75,chaos,407,14,3,chaos,,https://en.wikipedia.org/wiki/Chaos
320461,c86c8c8d-dca6-41cd-a010-a83e40d93e75,charles's law ,0,0,0,,"With constant pressure, the temperature of an ideal gas is inversely proportional to the density of the gas.",
80334,c86c8c8d-dca6-41cd-a010-a83e40d93e75,chinook,227,8,3,chinook,"A warm, dry wind on the eastern side of the Rocky Mountains. In the Alps, the wind is called a Foehn.",https://en.wikipedia.org/wiki/Chinook
80331,c86c8c8d-dca6-41cd-a010-a83e40d93e75,chinook wind,227,8,3,chinook_wind,,https://en.wikipedia.org/wiki/Chinook_wind
40310,c86c8c8d-dca6-41cd-a010-a83e40d93e75,cirrocumulus,105,4,3,cirrocumulus,"One of the three main genus-types of high-altitude tropospheric clouds, the other two being cirrus and cirrostratus.[3] They usually occur at an altitude of 5 kilometres (16,000 ft) to 12 kilometres (39,000 ft).",https://en.wikipedia.org/wiki/Cirrocumulus_cloud
40301,c86c8c8d-dca6-41cd-a010-a83e40d93e75,cirrocumulus clouds,105,4,3,Cirrocumulus,"One of the three main genus-types of high-altitude tropospheric clouds, the other two being cirrus and cirrostratus.[3] They usually occur at an altitude of 5 kilometres (16,000 ft) to 12 kilometres (39,000 ft).",https://en.wikipedia.org/wiki/Cirrocumulus_cloud
40313,c86c8c8d-dca6-41cd-a010-a83e40d93e75,cirrostratus,105,4,3,cirrostratus,A high cloud appearing as a whitish veil that may totally cover the sky. Often produces halo phenomena.,https://en.wikipedia.org/wiki/Cirrostratus_cloud
40304,c86c8c8d-dca6-41cd-a010-a83e40d93e75,cirrostratus clouds,105,4,3,cirrostratus,A high cloud appearing as a whitish veil that may totally cover the sky. Often produces halo phenomena.,https://en.wikipedia.org/wiki/Cirrostratus_cloud
40316,c86c8c8d-dca6-41cd-a010-a83e40d93e75,cirrus,105,4,3,cirrus,"A high cloud composed of ice crystals in the form of thin, white, featherlike clouds in patches, filaments, or narrow bands.",https://en.wikipedia.org/wiki/Cirrus
40307,c86c8c8d-dca6-41cd-a010-a83e40d93e75,cirrus clouds,105,4,3,cirrus_clouds,"A high cloud composed of ice crystals in the form of thin, white, featherlike clouds in patches, filaments, or narrow bands.",https://en.wikipedia.org/wiki/Cirrus_cloud
320462,c86c8c8d-dca6-41cd-a010-a83e40d93e75,climate,0,0,0,,The accumulation of daily and seasonal weather events over a long period of time. A description of aggregate weather conditions; the sum of all statistical weather information that helps describe a place or region.,
140343,c86c8c8d-dca6-41cd-a010-a83e40d93e75,climatological forecast,410,14,3,climatological_forecast,,https://en.wikipedia.org/wiki/1989_Pacific_hurricane_season
320463,c86c8c8d-dca6-41cd-a010-a83e40d93e75,cloud base,0,0,0,,The lowest portion of a cloud.,
320464,c86c8c8d-dca6-41cd-a010-a83e40d93e75,cloud cover,0,0,0,,The amount of the sky obscured by clouds when observed at a particular location.,
320465,c86c8c8d-dca6-41cd-a010-a83e40d93e75,cloud deck,0,0,0,,"The top of a cloud layer, usually viewed from an aircraft.",
60125,c86c8c8d-dca6-41cd-a010-a83e40d93e75,cloud seeding,149,6,1,cloud_seeding,The introduction of artificial substances (usually silver iodide or dry ice) into a cloud for the purpose of either modifying its development or increasing its precipitation.,https://en.wikipedia.org/wiki/Cloud_seeding
320466,c86c8c8d-dca6-41cd-a010-a83e40d93e75,cloudburst ,0,0,0,,Any sudden and heavy rain shower.,
60101,c86c8c8d-dca6-41cd-a010-a83e40d93e75,coalescence,146,6,1,coalescence,The merging of cloud droplets into a single larger droplet.,https://en.wikipedia.org/wiki/Coalescence
100307,c86c8c8d-dca6-41cd-a010-a83e40d93e75,cold advection,277,10,3,cold_advection,,https://en.wikipedia.org/wiki/Advection
90219,c86c8c8d-dca6-41cd-a010-a83e40d93e75,cold air damming,256,9,2,cold_air_damming,,https://en.wikipedia.org/wiki/Cold-air_damming
90207,c86c8c8d-dca6-41cd-a010-a83e40d93e75,cold front,253,9,2,cold_front,The leading edge of a cold air mass.,https://en.wikipedia.org/wiki/Cold_front
90237,c86c8c8d-dca6-41cd-a010-a83e40d93e75,cold occlusion,262,9,2,cold_occlusion,,https://en.wikipedia.org/wiki/Weather_front
120613,c86c8c8d-dca6-41cd-a010-a83e40d93e75,cold-air funnels,352,12,6,cold-air_funnels,,https://en.wikipedia.org/wiki/Funnel_cloud
60107,c86c8c8d-dca6-41cd-a010-a83e40d93e75,collision coalescence,146,6,1,collision_coalescence,"In cloud physics, the process producing precipitation by collision and coalescence between liquid particles (cloud droplets, drizzle drops, and raindrops).",https://en.wikipedia.org/wiki/Cloud_physics
60104,c86c8c8d-dca6-41cd-a010-a83e40d93e75,collision-coalescence process,146,6,1,collision-coalescence_process,"In cloud physics, the process producing precipitation by collision and coalescence between liquid particles (cloud droplets, drizzle drops, and raindrops).",https://en.wikipedia.org/wiki/Cloud_physics
100504,c86c8c8d-dca6-41cd-a010-a83e40d93e75,comma cloud,286,10,5,comma_cloud,,https://en.wikipedia.org/wiki/Polar_low
10449,c86c8c8d-dca6-41cd-a010-a83e40d93e75,condensation,22,1,4,condensation,Process by which water changes phase from a vapor to a liquid.,https://en.wikipedia.org/wiki/Condensation
50225,c86c8c8d-dca6-41cd-a010-a83e40d93e75,condensation level,129,5,2,condensation_level,The level at which a parcel of moist air lifted dry-adiabatically would become saturated.,https://en.wikipedia.org/wiki/Convective_condensation_level
320467,c86c8c8d-dca6-41cd-a010-a83e40d93e75,condensation nuclei,0,0,0,,"Small particles in the atmosphere that serve as the core of tiny condensing cloud droplets. These may be dust, salt, or other material.",
50231,c86c8c8d-dca6-41cd-a010-a83e40d93e75,conditionally unstable,129,5,2,conditionally_unstable,The state of a layer of unsaturated air when its lapse rate of temperature is less than the dry-adiabatic lapse rate but greater than the moist-adiabatic lapse rate.,http://glossary.ametsoc.org/wiki/Conditional_instability
50228,c86c8c8d-dca6-41cd-a010-a83e40d93e75,conditionally unstable atmosphere,129,5,2,conditionally_unstable_atmosphere,The state of a layer of unsaturated air when its lapse rate of temperature is less than the dry-adiabatic lapse rate but greater than the moist-adiabatic lapse rate.,http://glossary.ametsoc.org/wiki/Conditional_instability
20113,c86c8c8d-dca6-41cd-a010-a83e40d93e75,conduction,38,2,1,conduction,"The transfer of heat by molecular activity from one substance to another, or through a substance. Transfer is always from warmer to colder regions.",https://en.wikipedia.org/wiki/Conductor
320468,c86c8c8d-dca6-41cd-a010-a83e40d93e75,continental air mass,0,0,0,,An air mass that forms over land; it is normally relatively dry.,
90107,c86c8c8d-dca6-41cd-a010-a83e40d93e75,continental arctic,239,9,1,continental_arctic,,https://en.wikipedia.org/wiki/Weather_front
320469,c86c8c8d-dca6-41cd-a010-a83e40d93e75,continental climate,0,0,0,,"A climate lacking marine influence and characterized by more extreme temperatures than in marine climates: therefore, it has a relatively high annual temperature range for its latitude.",
90110,c86c8c8d-dca6-41cd-a010-a83e40d93e75,continental polar,239,9,1,continental_polar,Relatively dry air mass that develops over the northern interior of North America; very cold in winter and mild in summer.,https://en.wikipedia.org/wiki/Air_mass
90122,c86c8c8d-dca6-41cd-a010-a83e40d93e75,continental tropical,249,9,1,continental_tropical,"Warm, dry air mass that forms over the subtropical deserts of the south-western United States.",https://en.wikipedia.org/wiki/Air_mass
70213,c86c8c8d-dca6-41cd-a010-a83e40d93e75,contour lines,180,7,2,contour_lines,"A line of constant elevation above a certain reference level (usually mean sea level) on a previously defined surface, which may be the earth's surface, a constant-pressure surface, an isentropic surface, etc",https://en.wikipedia.org/wiki/Contour_line
320470,c86c8c8d-dca6-41cd-a010-a83e40d93e75,contrail,0,0,0,,"A cloudlike streamer frequently seen forming behind aircraft flying in clear, cold, humid air.",
30122,c86c8c8d-dca6-41cd-a010-a83e40d93e75,controls of temperature,75,3,1,controls_of_temperature,,https://en.wikipedia.org/wiki/Hot_air_oven
20116,c86c8c8d-dca6-41cd-a010-a83e40d93e75,convection,39,2,1,convection,"Motions in a fluid that result in the transport and mixing of the fluid's properties. In meteorology, convection usually refers to atmospheric motions that are predominantly vertical, such as rising air currents due to surface heating. The rising of heated surface air and the sinking of cooler air aloft is often called free convection. (Compare with forced convection.)",https://en.wikipedia.org/wiki/Convection
320471,c86c8c8d-dca6-41cd-a010-a83e40d93e75,convective condensation level,0,0,0,,The level above the surface marking the base of a cumiliform cloud that is forming due to surface heating and rising thermals.,
50301,c86c8c8d-dca6-41cd-a010-a83e40d93e75,convective instability,132,5,3,convective_instability,An instability due to the buoyancy force of heavy fluid over light fluid overcoming the stabilizing influence of viscous forces.,http://glossary.ametsoc.org/wiki/Convective_instability
100301,c86c8c8d-dca6-41cd-a010-a83e40d93e75,convergence,275,10,3,convergence,An atmospheric condition that exists when the winds cause a horizontal net inflow of air into a specified region.,https://en.wikipedia.org/wiki/Convergence
100401,c86c8c8d-dca6-41cd-a010-a83e40d93e75,conveyor belt,282,10,4,conveyor_belt_model,,https://en.wikipedia.org/wiki/Telescoping_effect
320472,c86c8c8d-dca6-41cd-a010-a83e40d93e75,cooling degree-day,0,0,0,,A form of degree-day used in estimating the amount of energy necessary to reduce the effective temperature of warm air. A cooling degree-day is a day on which the average temperature is one degree above a desired base temperature.,
70310,c86c8c8d-dca6-41cd-a010-a83e40d93e75,Coriolis,186,7,3,Coriolis,"A deflective force arising from the rotation of the earth on its axis; affects principally synoptic-scale and global-scale winds. Winds are deflected to the right of the initial direction in the Northern Hemisphere, and to the left in the Southern Hemisphere.",https://en.wikipedia.org/wiki/Coriolis
320473,c86c8c8d-dca6-41cd-a010-a83e40d93e75,coriolis effect,0,0,0,,,
70307,c86c8c8d-dca6-41cd-a010-a83e40d93e75,Coriolis force,186,7,3,Coriolis_force,"A deflective force arising from the rotation of the earth on its axis; affects principally synoptic-scale and global-scale winds. Winds are deflected to the right of the initial direction in the Northern Hemisphere, and to the left in the Southern Hemisphere.",http://glossary.ametsoc.org/wiki/Pressure_force
320474,c86c8c8d-dca6-41cd-a010-a83e40d93e75,crepuscular rays ,0,0,0,,"Alternating light and dark bands of light that appear to fan out from the sun's position, usually at twilight.",
40358,c86c8c8d-dca6-41cd-a010-a83e40d93e75,cumulonimbus,110,4,3,cumulonimbus,"An exceptionally dense and vertically developed cloud, often with a top in the shape of an anvil. The cloud is frequently accompanied by heavy showers, lightning, thunder, and sometimes hail. It is also known as a thunderstorm cloud.",https://en.wikipedia.org/wiki/Cumulonimbus_cloud
40355,c86c8c8d-dca6-41cd-a010-a83e40d93e75,cumulonimbus clouds,110,4,3,cumulonimbus_clouds,"An exceptionally dense and vertically developed cloud, often with a top in the shape of an anvil. The cloud is frequently accompanied by heavy showers, lightning, thunder, and sometimes hail. It is also known as a thunderstorm cloud.",https://en.wikipedia.org/wiki/Cumulonimbus_cloud
40352,c86c8c8d-dca6-41cd-a010-a83e40d93e75,cumulus,109,4,3,cumulus,"A cloud in the form of individual, detached domes or towers that are usually dense and well defined. It has a flat base with a bulging upper part that often resembles cauliflower. Cumulus clouds of fair weather are called cumulus humilis. Those that exhibit much vertical growth are called cumulus congestur or towering cumulus.",https://en.wikipedia.org/wiki/Cumulus_cloud
40349,c86c8c8d-dca6-41cd-a010-a83e40d93e75,cumulus clouds,109,4,3,cumulus_clouds,"A cloud in the form of individual, detached domes or towers that are usually dense and well defined. It has a flat base with a bulging upper part that often resembles cauliflower. Cumulus clouds of fair weather are called cumulus humilis. Those that exhibit much vertical growth are called cumulus congestur or towering cumulus.",https://en.wikipedia.org/wiki/Cumulus_cloud
320475,c86c8c8d-dca6-41cd-a010-a83e40d93e75,cumulus congestus,0,0,0,,An upward building convective cloud with vertical development between that of a cumulus cloud and a cumulonimbus.,
110104,c86c8c8d-dca6-41cd-a010-a83e40d93e75,cumulus stage,298,11,1,cumulus_stage,,https://en.wikipedia.org/wiki/Thunderstorm
320476,c86c8c8d-dca6-41cd-a010-a83e40d93e75,cup anemometer,0,0,0,,An instrument used to monitor wind-speed. Wind rotation of cups generates and electric current calibrated in wind speed.,
100319,c86c8c8d-dca6-41cd-a010-a83e40d93e75,cut-off low,279,10,3,cut-off_low,Cyclonic circulation system that separates from the prevailing westerly airflow and therefore remains stationary.,https://en.wikipedia.org/wiki/Block_(meteorology)
