questionBody,questionResponse,,,,,
"during just the summer equinox there is equal sunlight?	During both equinoxes. Autumnal (fall) and vernal (spring)",,,,,,
"Where can we find cold clouds again?	""Not sure what you mean by """"cold clouds"""" If you are talking about cloud formation cold clouds are formed from ice crystals as CCN. If it's a generalized question"," warm convective thunderstorm clouds can have very cold tops if they expand far enough into the atmosphere""",,,,,
"Why was the storm surge strongest at Alabama, not New Orleans??	""It wasn't", Perry was saying that's what was expected," based on what you've been taught about the strongest wind speeds and direction. But people forgot about the counterclockwise winds on the left side flooding Lake Pontchartrain to the north of New Orleans (found below sea level) so they saw catastrophic flooding""",,,,
"Is there a problem with the volume? My live stream isn't  working.	Try reloading your browser or using a different browser",,,,,,
"Is anyone elses sound not working?	Try refreshing your browser or using a different browser. Mine works!",,,,,,
"Does correctness of answer influence the grade?	no",,,,,,
"What are the Pineapple Express and Bermuda High?	Try rewinding the lecture and listening to Perry's explanation about 2 minutes ago! The Pineapple express is a river of moisture and the Bermuda high is a large area of a stable high out over bermuda",,,,,,
"howd he get 6000 ??????	It has to do with the wavelength on the graph. If we assume peak wavelength of sun is .5 (mm) then solving the equation for Tsun gives 6000k",,,,,,
"the opening 2 questions wont load on my computer today, ive tried everything to try to make it work	They are open on my end",,,,,,
"Where can I find the 'DIY Grading' ? I did not find it under the assignments on the canvas.	its under assignments on canvas. the 13th one down",,,,,,
"Is there any specific temperature that stage one of cyclogenesis likes to start at?	""No"," you just need a strong gradient""",,,,,
"What was the Exam average?	79!",,,,,,
"Are the lectures this week going to be on the test this Friday?	This Wednesday",,,,,,
"I'm not in the classroom, my slide is still locked	refresh",,,,,,
"since relative humidity is a percentage, shouldn't the answer actually be 0.33 ish?	""the ratio is .33 yes", but as a percent (x100) that's 33% humidity.|so on an exam," what is the proper way to write the answer?""",,,,
"Do you know when the participation grades will be released on canvas so we can make sure that the technology is working correctly	""Perry typically does this. Do not worry about it right now", as long as you're answering the questions you're good. If you think one was missed due to bad connection," give your answer to me on paper directly after class (in person or via email) and I'll make note of it.""",,,,
"if we have class before and after this class on Wednesday, and can't make it to the stadium, will it affect our grade?	""No"," there's no way to record attendance at the Big House so it won't affect your grade. However wait from an email from Perry on if we will have class or not because if it's cloudy we'll be having class as normal here.""",,,,,
"How can you tell which clouds contain more ice or more water.	The high clouds (cirrus) are mostly made of ice. They're thin and whispy usually",,,,,,
"I cant answer the first two questions, it has a blank screen	class just started",,,,,,
"Are we going to know our final grade before the optional exam so we can decide whether to take it or not?	""What if we don't remember what we put for our DIY grading?|You can calculate it yourself using the tool posted on """"about grade weightings"""" on canvas assignments""",,,,,,
"what was the name he called this type of cloud?	""Cirrus. Sometimes they're called """"mare's tails"""" like a horse. The scientific name is cirrus uncinus""",,,,,,
"what did he call this type of ray?	It's a ray from the sun. Stratocumulus clouds are often close together so the sun is filtered through",,,,,,
"Why has there been no course work assignments as of recent?	""Not sure"," consider yourself lucky!""",,,,,
"so does the storm get STRONGER AFTER eyewall replacement???	""http://www.theweatherprediction.com/habyhints2/412/|Not necessarily. The important thing to note is that during eyewall replacement", the hurricane is weakened. Afterwards," it may re-intensify as seen with Irma. """"Although an eyewall replacement cycle tends to reduce the category of a hurricane it also spread the hurricane force winds out over a larger area. This can cause a larger region to experience the extreme damage in a hurricane""""""",,,,
"This is a Kimberly appreciation post.	Thank you!",,,,,,
"so warm waterDOES affect severity of storm surge?	""Can also be a factor of terrain as well.|Warm water does not affect severity of storm surge specifically. It is mainly due to the direction the hurricane is moving", wind speed," and tides. Warm water does help intensify a hurricane however.""",,,,
"How come the answer is 298.9 - 299?	I think it just chooses whatever student submitted answer is closest but my guess is that it's rounding error. As long as you know what the answer is you're good.",,,,,,
"My very first question asked if any lectures this week will be on the test and you said no. And now your saying Wednesday's lecture will be on it? So which is it?	That was before Perry clarified to me that Wednesday is an important topic so it will be on the exam.|Thank you|You're welcome.",,,,,,
"can you repeat the wording he told us to use? i didnt type it fast enough	""From Perry: """"power of a fluid (wind or water) is function of density of a fluid times windspeed cubed. """" Water is more dense than air", so moving water at same speed as wind," water will have more power.""",,,,
"So if the red line is sun energy, whats the other line?	""I believe the red line is incoming solar radiation from the sun"," but the orange line is the actual temperature of the surface. We see there is a lag in when we see peak sun to see peak heating. This is due to a number of things we have discussed such as heat capacity of the surface and energy budget (incoming vs. outgoing radiation)""",,,,,
"How do you determine if it is a Low pressure or High Pressure?
How does wind flow matters?	""the top right of each station model is pressure"," as Perry has indicated at the beginning of the lecture. That is one way to tell. Another is that wind flows counterclockwise around a Low in the northern hemisphere""",,,,,
"OMG before I could answer where the Sahara is my wifi cut out and then the poll closed. What do I do	""Thank you!|I just had to restart my computer"," is there anyway it can be opened one more time?|Try again real quick on slide 16|I still didn't get it... I'm freaking out""",,,,,
"hi Kim, do you know when participation grades will be updated? I am trying to figure out if I'll be taking the final for this class.	I do not.. I would ask Perry about that since he uploads them. Maybe let me know when he tells you",,,,,,
"Tried to answer for slide 19 and it would not let me even before the poll was closed	""Try reloading page on your browser"," if that doesn't work email me your answer and explanation with """"extreme weather participation"""" in the subject line""",,,,,
"The notes keep saying there was an error in creating them. I cant type anything. What should I do?	""Unsure", this seems to be an echo360 issue. I'll tell Perry," probably wouldn't hurt to email their help email as well""",,,,
"in weins law are we using k as measure of temperature?	yes",,,,,,
"can you please explain the temp lapse rate?	It is the rate at which temperature decreases with altitude. Think of the surface vs. the height an airplane flies (almost at the top of the troposphere). Temperature decreases significantly from the surface to that height (with the exception of occasional inversions)|It's the rate at which temperature drops with altitude.",,,,,,
"what is the tornado rating system called?	Enhanced Fujita scale",,,,,,
"whats the one added thing that differentiates airmass from severe thunderstorms?	""I'm not sure what you mean by your question"," an airmass is a completely different entity than a thunderstorm. If you are referring to an """"airmass T-storm"""" the difference is that it is single celled and cannot regenerate itself because the downdraft falls in on itself.""",,,,,
"So is every topic before this one going to be on the exam Friday?	Anything we've covered in lecture is fair game. I'll be doing a more extensive review Thursday and sending out that power point in a bit",,,,,,
"how do you check your class attendance for each lecture?	""I'm not sure you can"," as long as you are watching and answer the questions as they pop up you are good. I will ask Perry about this.|Here's a screenshot that might help|If you go to echo360.org you can log in and under """"Personal Statistics"""" it has your attendance score""",,,,,
"I also have downloaded the latest adobe flash player and still cannot view the live stream. This has to be more than a personal computer problem if it is happening to so many students.	""If you have chrome", you go to settings," search for """"flash""""  (It's under Content Settings). And in the section that says """"Flash"""" you can add the site. Then refresh the page and you should be good!|Perfect"," thanks so much!""",,,
"Where is the beginning semester survey posted/has it been posted yet?	""Beginning semester survey is under """"assignments"""" """"common good""""|DIY grading survey in assignments""",,,,,,
"So what math would we need for that answer?	""wavelength twice as long"," 1 mm which makes less energy to earth. 3000/3000 = 1""",,,,,
"what did he say about sea breeze?	There's a lot of sea breeze off the coast of Florida that can help organize thunderstorms",,,,,,
"I was fixing my browser when I missed the first two questions today. Is there anything I can do?	""Thanks a lot!|they're opened for 1 minute|the """"how do you feel"""" questions?|Slide 5 and 16""",,,,,,
"How long do these 6 stages take to play out?	4-5 days usually",,,,,,
"why is the pressure higher when the atmosphere is higher? I would think that the pressure would decrease because the volume increases	""Think of this the other way around"," the atmosphere is higher because pressure is higher. There is more atmosphere so -more weight of air- above that point on the ground.|Warm air rises and takes up more space than cool air because it is less dense.""",,,,,
"at what percentage is the relative humidity saturated?	""I think you mean if the relative humidity is 100%"," meaning the vapor pressure is equal to the saturation vapor pressure. The air cannot hold any more moisture at that temperature.""",,,,,
"Is perry ok	Hi I'm concerned as well. I think it's a really bad cold going around. Take airborne everyone",,,,,,
"What drops with altitude?	in the troposphere|temperature typically",,,,,,
"I didn't get to answer the Sahara question, what do I do?	Try now|Got it! thanks so so much",,,,,,
"So the first video we watch was normal?	All videos are actual videos of satellite imagery. It's the people talking in the video that are spewing nonsense. Yes it was normal they are turbulent eddies created by wind flowing around the island",,,,,,
"How are you today Kim?  Thanks for answering all these questions.	Aw thanks for asking! I'm feeling good today actually and really enjoy this class",,,,,,
"does wind always want to move from a region of high pressure to low pressure?	Yes. and then the coriolis force turns it to its right",,,,,,
"where and what exactly is a warm sector?	The incoming air is warmer because it's coming from down south. The air ahead of a cold front is warmer. The southerly wind coming in on slide 12 is feeding the storm through providing moisture",,,,,,
"he needs to go to the doctor	I know :( Wash your hands friends",,,,,,
"He said something about the region where wind is the strongest. Which region is that ?	The northeast quadrant of the hurricane is the most powerful. This is where the winds are strongest and also where the most storm surge appears. The eyewall (area surrounding the eye) has the strongest winds as well.|The Eyewall",,,,,,
"I just got a warning of closing poll But I've submitted the answer.	If you've submitted then you're good",,,,,,
"Why does it flood so much in South Dakota?	Good question. South Dakota does get a lot of storms as it's in the top portion of the tornado alley",,,,,,
"Are we graded for our answers on whether they're right or wrong, or just on participating and trying?	Participating and -trying-",,,,,,
"what is the specific definition of latent heat?	""The heat released when undergoing a phase change (i.e. water to water vapor and vice versa for our course) As we studied with hurricanes"," when rising air condenses into water vapor to help form the hurricane it releases latent heat thus strengthening the hurricane because heat=energy""",,,,,
"so is the declination angle of the sun during equinox 0?	Solar declination angle is the angle of the tilt of the earth. It's 23.45 either North or south depending on if it's summer or winter solstice. http://www.susdesign.com/popups/sunangle/declination.php",,,,,,
"How do we know if Coriolis force or pressure gradient would contribute more if we had to draw something like this? (Would the size of the arrows just depend on the size of the pressure gradient and the latitude we're at?)	""coriolis always acts 90º to the right of the pressure gradient. So the pressure gradient goes H--> L pressure"," and then the coriolis force turns it 90 degrees to the right. The pressure gradient is stronger where lines are close together.""",,,,,
"What defines a ""storm""? Is the kind of drizzle we had yesterday considered a storm?	I'm sure Perry will get to this. Storm is a loose term. Rain showers is what I would call yesterday",,,,,,
"How do we know what questions we got marked down on? The key gives us the answers but how can we check what we got?	If you cannot remember which answers you put down after viewing the key you will be welcome to email me once we get the scantrons back. and you can come to north campus to find yours.",,,,,,
"what is a positive feedback mechanism vs. a negative one?	""A negative one is one that acts to returns the system to equilibrium. i.e. warming leads to increased water vapor leads to increased clouds", reflects sunlight, not as warm, negative feedback. (Although this is actually more complicated as some clouds have warming effects and some have cooling)|A positive one," enhances the initial effect. i.e. increasing CO2 leads to warming leads to enhanced IR absorption leads to more warming leads to more CO2""",,
"Does an ekman spiral happen to the left of the airflow in the Southern Hemisphere?	https://oceanservice.noaa.gov/education/kits/currents/05currents4.html|correct!|Thanks!",,,,,,
"why is it called heating degree day? to be clear heating degree day is in units of energy right/...? so like 500 heating degree days to cool Michigan. but this is in units of energy?	""I don't think it's defined that way it's just in respect to how we can quantify weather. """"Heating degree day: The number of degrees that a day's average temperature is below 65oFahrenheit (18o Celsius)"," the temperature below which buildings need to be heated""""""",,,,,
"Hi, Kim.
Can you please explain the detail about 5 trough Perry was talking about? What was about the exchange of heat here?	""The trough is associated with rising air and counter clockwise rotation. Wind wants to move from H to L pressure", so it would roughly go across the isobars but coriolis pulls it to the right," so it does not exchange heat""",,,,
"He said in the Northern Hemisphere that the winds will be pulled to the right.  How come all of the arrows are pointing left?	""It also has to do with the H to L pressure from the sahara downward and the coriolis force then pulling the N to S winds to -its- right"," meaning then flow westward.|Here is an image|That is in the latitudes where the US is located. It is different for every latitude area. Try re-listening to this part of the lecture after class.""",,,,,
"why was the temperature at B point of the mountain 26 and not 24?	It is sinking at the dry rate of 10 degrees per 1000 m. Temp at top was -5 so add 30 (going down 3000m) and we get 25-26 about.",,,,,,
"The live stream is frozen for me -- anybody else?	Mine's working. Try refreshing your browser for it to catch up",,,,,,
"I have no idea how he is getting these numbers	Solar declination angle is the angle of the tilt of the earth. It's 23.45 either North or south depending on if it's summer or winter solstice. http://www.susdesign.com/popups/sunangle/declination.php",,,,,,
"Hey Kim,

Just FYI the slide 4 asking to choose three organizations only allows one selection currently.	""Usually control click will fix this problem or command click|Yep that was it"," thanks!""",,,,,
"can u please define glaciation again?	When the cloud grows so high that ice forms on the top of the cloud because of how cold it is.",,,,,,
"Could you explain the format of the circle and line diagram on the map with the two numbers?	""They are one each of the maps", I just missed the portion when he was discussing the significance of the two numbers, the circle," and the extended as well as angled line|Which slide?""",,,
"what is the significance of 65 F in heating and cooling degree days?	Just the average outside temperature where we see most people turn on their heating/cooling",,,,,,
"How can they oxygen 16 work together with oxygen 18	This is a chemistry question. Oxygen can have differing numbers of neutrons",,,,,,
"Is anyone having trouble with their connection cutting in and out?  Does anyone have advice for what to do with that?	I am having the same problem with the livestream. My internet speed is 75mbps and I've tried refreshing as well as using different browsers. Can't seem to find a consistent answer to the problem.",,,,,,
"how do we participate in the polls? I tried clicking on them but nothing appeared	I believe when they are open you can participate. Make sure that you have the participation window open and not the screen capture of the lecture slides. There should be 3 possible windows you can see.|how do we open that participation window?|^^|Try now|can we go back and try again or is it too late?",,,,,,
"Why there is wind on the surface? Professor said the wind is aloft horizontally.	I'm not sure what exactly what you're referring to but there is always wind at the surface. The wind patterns aloft and at the surface are different but connected. See the next slide for more info",,,,,,
"When we see the spiral in the northern Atlantic, is that a type of storm or hurricane forming?	""Low pressure systems rotate counterclockwise. When it's very well defined like that"," it's usually beginning to become occluded. Or it's a hurricane but you know where those form""",,,,,
"what happens with a stationary microburst?	I believe Perry just answered this question. The storm isn't moving very fast so I would say the microburst is more localized in one area",,,,,,
"When can I come pick up the exam paper if I'm in my dorm at the moment.	Please await canvas announcement",,,,,,
"How do you measure global temperature?	lol nice for noticing. It is averaged over all latitudes I believe.",,,,,,
"Which cloud is associated with thunderstorms?	""Cumulonimbus"," he is getting there!""",,,,,
"is low pressure still consisent with bad weather in the southern hemisphere? and does air still flow high to low pressures	Yes",,,,,,
"What does the wind speed and direction have anything to do with formation of storms again?	""Not sure what you're referring to exactly here but the wind speed is a function of the pressure gradient", the closer the lines the stronger the gradient," the stronger the winds.""",,,,
"In the exam will there be essay type questions or will it be a multiple choice ?	an announcement will be sent out but it is both",,,,,,
"Is there a way to check if I input a suggestion on where to donate money? I think I put in a suggestion in September but if I click the form again I can submit another suggestion?	""If you read the assignment", a page summary of a proposal on who you believe should receive the money and why needs to be turned into canvas in the assignment section.|Okay," that wasn't clear to me because there's still a form link in the assignment description.""",,,,
"Is it possible to run from the floor? Not for participation points but because there's an org that isn't being mentioned that would really deserve support(World central kitchen that works with Jose Andres) and is really good at using its supplies to make warm meals for Puerto Ricans	""I'm not sure"," I would hesitate to say yes since Perry has already set up all of these presentations however if there is time at the end you could raise your hand. You could also post it here and of course email Perry and I after class to see if it can be added to the list""",,,,,
"Why is Sandy only classified as a Category 3 Hurricane?	The categories relate to maximum wind speeds. Sandy was a category 3 for winds. It is 111-129 mph http://www.nhc.noaa.gov/aboutsshws.php",,,,,,
"what is the definition of eyewall replacement?	See same question below for answer.",,,,,,
"How many categories are there ? 
Do typhoons and cyclones use the term Category with them?	""5. Typhoons and cyclones", hurricanes -All mean the same thing-. Different words," same thing.""",,,,
"On slide 12, are we saying the 850 mb is where the pressure gradient is the highest or the steep slope of the 300 mb?	The slope of 300mb is steeper since we are higher in the atmosphere (the pressure at the surface is constant here) so therefore the pressure gradient aloft from the temperature difference at the surface is highest aloft (then turned by the coriolis force i.e. we get jet stream)",,,,,,
"it won't let me take notes...	""I apologize and do not know what is causing this"," I will bring it up to Perry""",,,,,
"why is temperature decreasing? shouldnt it be increasing?	Temperature increases as CO2 concentration increases I believe",,,,,,
"what is the name of this graph?	Skew-T diagram",,,,,,
"how do you find solar declination angle	Solar declination angle is the angle of the tilt of the earth. It's 23.45 either North or south depending on if it's summer or winter solstice. http://www.susdesign.com/popups/sunangle/declination.php",,,,,,
"What does the Skew T Diagram tell us again?	""It is in its most basic form a profile of temperature and dewpoint as we move up in the atmosphere at a given time. The values are recorded by weather balloons released. The closer the lines"," the more moisture.""",,,,,
"which line is dew point	The green one to the left.",,,,,,
"Why do you add 30?	sinking at the dry rate which is 10 degrees every 1000m. The mountain is 3000m tall so that's 30 degrees",,,,,,
"Does the atmospheric river pass by California?	The one in the figure was passing right over california",,,,,,
"What is Coriolis force?	It is an apparent force caused by the rotation of the earth. It is zero at the equator and increases towards the poles. http://ww2010.atmos.uiuc.edu/(Gh)/guides/mtr/fw/crls.rxml",,,,,,
"what did he say about the warm sector	""When it gets cut off in the occlusion stage on slide 13"," there is no longer anything to fuel the storm""",,,,,
"why did he just add 30 degrees Celsius to get the temperature for point B?	He rushed the example but it's still sinking 10 degrees every 1000 m and the mountain is 3000m tall so that's warming 30 degrees",,,,,,
"Why i can't watch the live?  is there anything wrong with the live stream	Check the class announcement about adjusting your browser settings to correctly view. Try a new browser or refresh",,,,,,
"Whats the definition of hydrostatic balance?	""hydrostatic balance is the balance between gravity force and pressure gradient force. gravity pulls down"," pressure gradient pulls up.|http://www.theweatherprediction.com/habyhints2/611/""",,,,,
"I can't seem to find the reading to complete. In the class slide it says it is under ""schedule"" in canvas but that tab does not exist.	It's in the syllabus tab. There's a hyperlink for it there.",,,,,,
"hi Kim!	Good morning everyone! Happy Friday",,,,,,
"Is it true that we can miss 6 classes (as in not participate online) and it won't affect our grade?	yup. or drop 6 lowest",,,,,,
"is cloud identification on this test?	Yup! Everything that we've learned since the last exam|Ok thanks. Just checking because we did that before the last exam.",,,,,,
"Can you explain atmosphere river?	River of moisture in the atmosphere due to moist airmasses coming on shore and interacting with mountains to produce rain and moisture",,,,,,
"Why is the multiple in the sample problem 100?	I think this is just to make a point that 100year storms will happen.",,,,,,
"When you talk about the ""power of a hurricane"" what are you referring to? Is it the wind speed?	Not sure what Perry said when you asked this question but generally yes it is wind speed. Remember Power of Wind = (windspeed)^3",,,,,,
"I can't hear any volume is anyone else experiencing this	my volume has been fine on the stream. check your own computers volume|I'll try to tell him",,,,,,
"How to make the central pressure lower? Surface or aloft?	""The low pressure is at the surface", to enhance it the convergence at the surface has to increase due to pressure gradient increasing, still has available warm inflow air," or air diverging faster aloft""",,,
"can you possibly reopen slide 4	it's still open on my end",,,,,,
"I cant see the live feed for some reason	It might be your wifi but all looks well here! Make sure to hit play on the live feed.",,,,,,
"Will there be a live stream of the stadium event if we cannot make it or no?	no",,,,,,
"Do we always consider the friction force when determining wind direction?	""Yes", now that we've learned it it's always relevant|Unless we are talking about winds aloft," there is no friction up high in the atmosphere""",,,,
"why is it warmer?	""Winds would be blowing from the southeast"," typically the south is warmer than the north so it would carry those warmer winds from the southeast to the northwest.""",,,,,
"So is it the coriolis force that causes the wind to come from the west?	It's not the only reason but is a contributing factor. We -generally- see warmer air to the south and cooler air to the north because of the energy balance from the incoming solar radiation we learned about before. This temperature difference leads to a pressure difference from south to north (again generally speaking) so this S to N gradient creates a wind which is then turned to the right from the coriolis force. Leading to a westerly wind (wind from the west to the east)",,,,,,
"When and where is the review?	see previous class anouncement",,,,,,
"he is going really fast... what did he say about pluvial flood?	An extreme amount of heavy precipitation downpour saturates drainage systems and excess water cannot be absorbed",,,,,,
"If I get a question wrong will that hurt my participation?	Nope just participation. This is covered in the syllabus. Although you should try",,,,,,
"Why is there less precipitation in the jet stream?	""I'm not sure he's said that", waves in the jet stream produce low and high pressure systems as we've learned. What he stated was at 30º latitude roughly, we have sinking air from the hadley cell," sinking air is typically dry/stable air with not much moisture. So we see deserts here.""",,,
"what is divergence?	""This was covered in early lectures on hurricanes. It is defined as wind/air """"diverging"""" moving away from each other. When we have divergence at the surface (H) wind is sinking to the ground and fanning out in different directions when it hits the surface.""",,,,,,
"Did professor say conductive or convective?	convective",,,,,,
"what is storm surge specifically?	The water being pushed up on the shore due to the strong hurricane winds. See slide 20 for an image.",,,,,,
"when will the live class start?	When class starts at 10:10",,,,,,
"Could you please open slide 11 again so I can edit my answer	It closed again|it's open!",,,,,,
"Can you please re-open 15	refresh",,,,,,
"Do all low pressure system have cold front or warm front?	""Yes"," that's what creates the low pressure is a strong temperature gradient and a pressure gradient (the two are coupled). A Hurricane is a low pressure system as well and forms differently as we know""",,,,,
"Is a tropical storm the same thing as a hurricane?	""https://www.accuweather.com/en/weather-news/whats-the-difference-between-a/34388|No"," a tropical storm is what typically becomes a hurricane. It is not quite as well formed yet but often can turn into a hurricane.""",,,,,
"Will there be another opportunity for a common good point? Such as a final survey or something?	""I think Perry is working on this. You could send him an email however|Okay"," thanks!""",,,,,
"what is the definition of wind shear ?	Change of wind direction or speed with height",,,,,,
"What is the difference between a hurricane's wind speed and its power?	""As Perry said"," it's a relationship. Power of hurricane (ability to destruct) = windspeed^3|From Perry: """"power of a fluid (wind or water) is function of density of a fluid times windspeed cubed. """"",,,,,
Water is more dense than air, so moving water at same speed as wind," water will have more power.""",,,,
